;Columna1;Columna2
402;São Paulo';Aeropuerto Internacional de São Paulo-Guarulhos (GRU)
403;São Paulo';Aeropuerto de Congonhas São Paulo (CGH)
404;'Campinas';Aeropuerto Internacional de Viracopos/Campinas (VCP)
405;Florianópolis';Aeropuerto Internacional Hercílio Luz (FLN)
406;'Joinville';Aeropuerto Lauro Carneiro de Loyola (JOI)
407;'Aracaju';Aeropuerto Internacional de Aracaju (AJU)
408;'Santiago de Chile';Aeropuerto Internacional Comodoro Arturo Merino Benítez (SCL)
409;'Antofagasta';Aeropuerto Internacional Cerro Moreno (ANF)
410;'Arica';Aeropuerto Internacional Chacalluta (ARI)
411;'Calama';Aeropuerto Internacional El Loa (CJC)
412;'Talcahuano';Aeropuerto Internacional Carriel Sur (CCP)
413;'La Serena';Aeropuerto La Florida (LSC)
414;'Atacama';Aeropuerto Desierto de Atacama (CPO)
415;'Iquique';Aeropuerto Internacional Diego Aracena (IQQ)
416;'Punta Arenas';Aeropuerto Internacional Presidente Carlos Ibáñez del Campo (PUQ)
417;'Puerto Montt';Aeropuerto Internacional El Tepual (PMC)
418;'Isla de Pascua';Aeropuerto Internacional Mataveri (IPC)
419;'Freire';Aeropuerto La Araucanía (ZCO)
420;Bogotá';Aeropuerto Internacional El Dorado (BOG)
421;Medellín';Aeropuerto Internacional José María Córdova (MDE)
422;Medellín';Aeropuerto Olaya Herrera (EOH)
423;'Barranquilla';Aeropuerto Internacional Ernesto Cortissoz (BAQ)
424;'Cartagena';Aeropuerto Internacional Rafael Núñez (CTG)
